军训	1162
被子	1161
潇洒	1161
控制	1160
看不懂	1160
上来	1158
冒	1158
一齐	1156
伤感	1155
往	1154
早晨	1151
赶	1151
星期六	1149
一言难尽	1148
嘎嘎	1147
人品	1146
面	1144
目标	1144
烦死	1143
传说	1141
台	1139
多点	1137
尤其	1137
剩	1135
真的假	1134
原谅	1134
今儿	1132
犀利	1131
下面	1130
阳光	1129
玩儿	1128
听日	1128
臭	1127
欠	1125
起码	1125
等待	1124
减	1123
挖	1123
佩服	1119
必要	1116
发展	1115
就行	1115
神奇	1114
街	1114
超市	1113
本	1113
城市	1112
坚强	1111
网络	1111
修	1110
饱	1109
怀念	1108
图片	1106
门	1105
冲动	1102
调整	1101
没事儿	1100
聚会	1100
约会	1099
喵	1098
烦恼	1097
拿到	1096
屁股	1096
争取	1095
四点	1092
邪恶	1092
毛线	1092
方面	1091
垃圾	1091
三点	1090
技术	1090
回答	1090
受伤	1089
梦见	1088
短	1088
或许	1087
剧情	1087
怀疑	1087
有用	1086
天津	1085
删	1085
两点	1084
相亲	1082
心理	1080
大人	1079
大雨	1078
音乐	1078
排队	1076
月底	1075
吵架	1075
中秋	1074
软件	1071
嘴	1071
十点	1070
八点	1069
不准	1069
吃点	1068
每	1068
穷	1068
早睡	1065
打包	1065
排	1065
哇塞	1064
换个	1064
冲	1062
记住	1059
霸气	1057
丑	1057
晚睡	1057
你系	1056
落	1056
莫非	1056
慢	1055
难怪	1055
车上	1054
坏人	1054
美丽	1054
没意思	1054
水平	1054
楼	1052
注意安全	1050
棒	1046
不带	1046
台风	1045
一路	1045
好奇	1042
结局	1042
再也	1042
网	1041
昨天晚上	1040
青年	1039
请客	1039
浮云	1039
慨	1038
智商	1036
食饭	1036
台湾	1036
既然	1036
彻底	1035
别说	1034
版	1032
戴	1032
酱油	1031
成为	1031
负责	1030
小时候	1030
运气	1029
看起来	1028
舍得	1028
着急	1028
多好	1027
牌子	1027
方向	1026
我错	1025
吓死	1025
妹纸	1025
过节	1024
疯狂	1024
失败	1022
提	1022
几乎	1021
经典	1020
一份	1020
这儿	1019
一看	1018
意义	1017
怪不得	1017
麻将	1015
成熟	1014
炒	1014
坐车	1013
咳	1012
侬	1012
矮油	1010
老人家	1008
广东	1008
更加	1007
拒绝	1006
内心	1005
碎	1005
带我去	1005
干吗	1005
基友	1002
还会	1002
呸	1001
面对	1001
愉快	1001
寄	1000
喝水	999
申请	999
但系	998
号码	998
扔	997
下个月	997
杯	995
公交	995
多次	994
钟	994
憋	994
过得	993
哇哇	993
作为	991
好开心	990
挤	990
保护	989
冷静	988
嘢	987
你老	987
无人	987
于	986
分手	986
半年	984
走路	984
皮	983
头疼	983
连续	982
整天	982
总之	982
于是	981
好烦	980
东东	980
十一	980
危险	980
回忆	979
表	978
没睡	978
东莞	978
女孩	977
洗洗	977
前天	975
怀孕	975
国家	975
舍不得	974
依家	974
剩下	973
区	973
有木有	973
女神	972
揾	972
小学	972
起身	972
有意思	971
带你去	971
折磨	971
废话	971
表达	970
太大	970
恩是	970
神经	967
干净	967
取消	966
回国	966
西	966
空间	965
熟	965
味	964
渣	964
情人节	962
太累	962
听听	962
名	962
拔	961
兼职	961
学姐	961
电	960
有种	960
总有	957
长沙	956
明	953
休	953
醒来	953
表白	952
偷偷	952
一路顺风	951
九点	950
子	949
动	949
挑	949
幸好	948
动力	948
安逸	948
主意	947
整	947
机票	946
保暖	946
大半夜	946
客户	946
很难	945
睡得	945
他家	945
长得	945
元	943
印象	943
月份	943
非	941
草	940
瞬间	940
第二天	940
明儿	939
太久	939
所谓	939
条	939
五一	939
任何	936
地震	936
好滴	935
做饭	935
人才	933
恢复	933
牛奶	933
干活	932
样	931
粗	931
一声	931
欢乐	930
满	930
床	930
无事	930
早饭	929
汤	929
叻	928
一部	928
食堂	927
白痴	927
理	927
高三	927
头痛	927
司机	927
精彩	927
大姐	926
初中	926
故意	923
总会	922
省	922
误会	921
最大	921
方式	921
一辈子	921
皮肤	920
试	919
学院	919
服务	916
面前	915
时代	914
风格	914
拼	914
流量	913
报告	912
中间	912
休假	912
地球	912
被窝	911
新疆	911
间	910
晚饭	909
凉	909
贱人	909
意见	908
演	908
内容	908
片子	907
口	907
元旦	906
太晚	906
身材	906
水果	905
一日	905
打开	904
尿	904
塞	904
艹	903
默默	902
节日快乐	901
快快	901
逗	900
咋办	900
